NOCCODE,OperatorPublicName,RefNm,OpNm,Licence,TLRegOwn,Mode,ManDivNm,GpNme,EBSRAgent,LO,SW,WM,WA,YO,NW,NE,SC,SE,EA,EM,NI,NX,Megabus,"New Bharat",Terravision,NCSD,Easybus,Yorks_RT,"Travel Enq",Comment,AuditDate,AuditEditor,AuditComment,Duplicate,"Date Ceased","Cessation Comment"
1CTL,"1st Choice Transport Ltd","1st Choice Transport Ltd","1st Choice Transport Ltd",PG1043352,WA,Bus,"1st Choice Transport Ltd",NoGroup_BusMode,,,,,1CTL,,,,,,,,,,,,,,,,,,,,,,,
2WTR,"2 Way Transport","2 Way Transport","2 Way Transport",,EM,Bus,"2 Way Transport,",NoGroup_BusMode,,,,,,,,,,,,2WTR,,,,,,,,,,,,,,,,
3DCO,"3D Coaches","3D Coaches","Peter Kermeen & Elaine Fletcher",PC1020124,NE,Bus,"Peter Kermeen & Elaine Fletcher,",NoGroup_BusMode,,,,,,,,3DC,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
5STR,"Five Star International Travel","Five Star","Philip Riley",PC0004237,NW,Bus,"Philip Riley,",NoGroup_BusMode,,,,,,,2417,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
A1AT,A.1.A.Travel,"A 1 A Travel","A1A Ltd",PC0003982,NW,Bus,"A1A Ltd,",NoGroup_BusMode,,,,,,,2488,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
A1CM,"A1 Cars & Minibuses","A1 Cars & Minibuses","Mohammed Khan",PC1090058,NW,Bus,"Mohammed Khan,",NoGroup_BusMode,,,,,,,1124,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
A1CO,"A1 Coaches","A1 Coaches","A1 Coaches",,NE,Bus,"A1 Coaches,",NoGroup_BusMode,,,,,,,2286,ACO,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
A1CS,"A1 Coaches","A1 Minibus & Coach Services Ltd","A1 Minibus & Coach Services Ltd",PM0002341,SC,Bus,"A1 Minibus & Coach Services Ltd,",NoGroup_BusMode,,,,,,,,,ACS,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
A1MC,"A1 MiniCoaches of Brierfield","A1 Mini Coaches","Rubina Bano Khan",PC1050703,NW,Bus,"Rubina Bano Khan,",NoGroup_BusMode,,,,,,,AOM,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
A1MC,"A1 MiniCoaches of Brierfield","A1 Mini Coaches","Rubina Bano Khan",PC1050703,NW,Bus,"Rubina Bano Khan,",NoGroup_BusMode,,,,,,,A1MC,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
A2BC,"A2B Cars (Maesteg)","A2B Cars","Robert Bayford Williams",PG1056391,WA,Bus,"Robert Bayford Williams,",NoGroup_BusMode,,,,,A2BC,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
A2BR,"A2B Bus and Coach","A2B Bus and Coach","A2B Travel Group",PF2020005,EA,Bus,"A2B Travel Group",NoGroup_BusMode,,,A2BR,,,,,,,A2BR,A2BR,,,,,,,,,,,,"2019-09-13 00:00:00","Amy Brown","Updated licence for Stuart Reynolds",,,
A2BS,"A2B Taxis",,"A2B Newquay Travel Ltd",PH1088109,SW,Bus,"A2B Newquay Travel Ltd,",NoGroup_BusMode,,,A2B,,,,,,,,,,,,,,,,,,,,"2014-10-24 00:00:00","John Prince","Added for Andy Hole",OK,,
A2BT,"A2B Express Travel","A2B Express Travel","Donald William Beresford",PH0007036,SW,Bus,"Donald William Beresford,",NoGroup_BusMode,,,ET,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
A2BV,"A2B Travel","A2B Travel","A2B Travel (Uk) Ltd",PC1047147,NW,Bus,"A2B Travel (Uk) Ltd,",NoGroup_BusMode,,,,,,,A2B,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
A2BV,"A2B Travel","A2B Travel","A2B Travel (Uk) Ltd",PC1047147,NW,Bus,"A2B Travel (Uk) Ltd,",NoGroup_BusMode,,,,,,,A2BV,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
A2BV,"A2B Travel","A2B Travel","A2B Travel (Uk) Ltd",PC1047147,NW,Bus,"A2B Travel (Uk) Ltd,",NoGroup_BusMode,,,,,,,2527,,,,,,,,,,,,,,,,"2016-09-19 00:00:00","Amy Brown","Added old local code back in",,,
AACT,"A&A Coach Travel","A&A Coach Travel","A&A Coach Travel Ltd",PB2024186,Yo,Bus,"A&A Coach Travel Ltd",NoGroup_BusMode,,,,,,ACT,,,,,,,,,,,,,,,,,,,,,,
AAMG,"The A & M Group (AAMG)","The A & M Group","Spangap Ltd",PD0001892,WM,Bus,"Spangap Ltd,",NoGroup_BusMode,,,,AAM,,,,,,,,,,,,,,,,,,"Appears to be duplicated by NOC code AMGR (main match)and AMMG - with WMTIS for review","2015-05-08 00:00:00","John Prince","Ceased in favour of AMGR for Gary Leek",OK,"2015-05-08 00:00:00","Ceased in favour of AMGR for Gary Leek"
AAPT,"A & P Travel","A & P Travel","A & P Travel Ltd",PF1041026,EA,Bus,"A & P Travel Ltd,",NoGroup_BusMode,,,,,,,,,,,AAPT,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
AASC,"A & S Coaches",,"A & S Coaches",,EM,Bus,"A & S Coaches,",NoGroup_BusMode,,,,,,,,,,,,AASC,,,,,,,,,,,"2014-01-20 00:00:00","John Prince","Added for Stuart Reynolds",OK,,
AATR,"A A Travel (Cumbria) Limited","A A Travel","A A Travel (Cumbria) Limited",PC1054541,NE,Bus,"A A Travel (Cumbria) Limited,",NoGroup_BusMode,,,,,,,,AAT,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ABAC,"Abacab Coaches","Abacab Coaches","Christopher David Jones & Denise Jones",PG0007300,WA,Bus,"Christopher David Jones & Denise Jones,",NoGroup_BusMode,,,,,ABAC,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-17 00:00:00","Not currently operating - Debra Glaves"
ABAS,"Abacus Coaches","Abacus Coaches","David Thomas Cooke",PF0001975,EM,Bus,"David Thomas Cooke,",NoGroup_BusMode,,,,,,,,,,,,ABAS,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ABBL,"Abbotts of Leeming","Abbotts Of Leeming","Clifford George Abbott & James Matthew Abbott",PB1078688,YO,Bus,"Clifford George Abbott & James Matthew Abbott,",NoGroup_BusMode,,,,,,ABB,,ABS,,,,,,,,,,,,ABB,,,"2014-08-13 00:00:00","John Prince","Add ABS as locl code for NE for Stuart Reynolds",OK,,
ABBS,"Abbey Cars (Hereford)","Abbey Cars","Edward Clive Gillanders",PD0001541,WM,Bus,"Edward Clive Gillanders,",NoGroup_BusMode,,,ABB,ACA,ABBS,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ABBY,"Abbey Luxury Travel","Abbey Luxury Travel","Abbey Luxury Travel",,NW,Bus,"Abbey Luxury Travel     ,",NoGroup_BusMode,,,,,,,1114,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
